Gene,Module
MMP28,purple
ELOVL3,turquoise
TSPAN6,purple
SMCR5,blue
FFAR3,pink
GRIA3,turquoise
MIR4480,blue
ZFHX2,blue
KCND1,blue
CLC,greenyellow
CSNK2A3,grey
KCCAT198,tan
SPOCD1,red
NHS-AS1,pink
LINC00309,turquoise
CXCL9,turquoise
ADAT3,blue
PLCB4,turquoise
COL28A1,turquoise
PVRL2,grey
COL7A1,blue
LOC100506314,yellow
NXPE1,blue
SLC22A20,blue
TAS2R43,grey
COL4A6,turquoise
RAI14,turquoise
FFAR4,turquoise
LZTS1,blue
RFX4,turquoise
KRT2,grey
TOB2P1,turquoise
ETV7,green
DFNB31,blue
CFAP43,turquoise
GRIK3,turquoise
DCT,turquoise
CORO2B,blue
MYH14,turquoise
DSC1,purple
CNNM1,blue
XIRP2,turquoise
LINC01093,green
DLEU1-AS1,yellow
EFNA5,grey
SLC28A3,turquoise
BEAN1,blue
CCNA1,salmon
TAS2R60,blue
YJEFN3,blue
BAAT,turquoise
ATAD3C,blue
OSBP2,brown
PEG3,turquoise
MND1,grey
INHBA,salmon
HSPA12B,blue
GPC4,turquoise
LINC00853,grey
RASSF8,turquoise
POU5F1,turquoise
LOC400997,grey
LRRC8E,blue
HTATSF1P2,green
DBIL5P,turquoise
KCNC2,turquoise
LOC102723769,grey
THEGL,blue
FN3K,blue
TCONS_00029157,turquoise
IGSF11,turquoise
GGT5,blue
FECH,brown
CYP2S1,blue
XKR9,grey
MYOZ2,turquoise
PRSS16,turquoise
LCN2,salmon
LHFP,grey
ELANE,blue
CDC42EP1,blue
ADRB1,grey
LINC00997,turquoise
ATP2A1,blue
NOG,purple
FOXD2-AS1,blue
SLC1A1,turquoise
ROR1,turquoise
TDRD15,grey
LOC101927815,grey
ELF3,blue
COL6A1,blue
LOC151174,turquoise
MROH9,turquoise
CSDC2,blue
ITGB8,salmon
DLGAP3,blue
TPTE,turquoise
C1S,turquoise
DTNA,turquoise
GPRC5D,turquoise
PLCD3,blue
GHR,turquoise
GLB1L3,blue
SCARA5,turquoise
KCND3,turquoise
FLRT1,blue
SATB2,turquoise
SNORA49,cyan
TGFA-IT1,green
LRFN1,blue
CPNE7,turquoise
COL23A1,blue
SIGLEC8,greenyellow
CLEC12B,grey
SLC5A2,blue
CBX2,blue
RHBDF1,turquoise
MIR4698,yellow
OR2L8,grey
PPARG,turquoise
SLC35F4,turquoise
DGKK,grey
LINC00639,grey
MECOM,turquoise
ALDH1A2,turquoise
GPR153,turquoise
FAM83F,blue
ARHGAP33,blue
LINGO2,grey
NCKAP5,turquoise
TGFB2,turquoise
BATF2,turquoise
ABHD16B,blue
FGFR2,grey
ZNF462,turquoise
THSD4,turquoise
TNR,turquoise
PAGE2B,brown
PPP1R13L,blue
TRHDE-AS1,blue
IDO1,greenyellow
PPP1R17,grey
HTRA1,red
SH3PXD2B,turquoise
ACBD7,turquoise
DLK2,blue
KCNIP4-IT1,turquoise
MIR4718,blue
CSPG4,blue
POLR2J2,grey
PKN3,blue
VWF,blue
LAMB4,turquoise
C6orf132,blue
SYTL5,turquoise
ACOXL,grey
PBK,turquoise
SORCS2,blue
PRSS35,grey
CASKIN2,blue
UCA1,turquoise
GRINA,brown
OLFM1,grey
TULP2,turquoise
PPFIA4,blue
SCN4A,turquoise
BOC,turquoise
LOC101928404,turquoise
ESRG,blue
LINC01204,turquoise
PLP1,blue
GALNT9,blue
LINC00906,turquoise
LOC653653,grey
FAR2P2,grey
PRDM5,green
PIEZO2,turquoise
UBALD1,magenta
RBFOX1,turquoise
RIMS2,turquoise
LHFPL4,turquoise
ESYT3,turquoise
C1orf116,red
CNN1,blue
SERPING1,pink
TPBG,grey
PPP1R26-AS1,turquoise
ITGAD,blue
SCUBE2,turquoise
LGI2,turquoise
FCER1A,salmon
ITLN1,brown
LYPD2,grey
LINC00707,grey
BAALC,grey
NPIPA5,turquoise
RHBDL1,turquoise
MIR7845,magenta
IGFALS,blue
NAV2,turquoise
MROH5,blue
LOC100507462,turquoise
AP3B2,turquoise
LY6G6E,red
UNC79,turquoise
LINC00235,blue
SLC4A9,blue
ZYG11A,turquoise
IFITM10,blue
THBS1,red
FCGR1C,green
ISM1-AS1,purple
CLGN,turquoise
ITIH3,blue
VWA3A,blue
PRSS21,turquoise
BTNL9,turquoise
KCNG1,grey
NRXN2,turquoise
LOC101928674,turquoise
LINC01281,grey
UTS2,grey
LOC100128568,blue
C6orf25,blue
CXCL5,red
PHF24,turquoise
ARHGEF25,blue
SLC44A3,turquoise
CSMD3,turquoise
DIP2A-IT1,yellow
WDR63,turquoise
LOC100131257,blue
PRSS3P2,grey
SLC6A8,brown
PROM2,blue
PDZD3,blue
BTNL10,brown
SLC6A9,brown
CEACAM6,salmon
LINC01279,grey
SLC4A10,grey
GTSCR1,purple
SNORA12,cyan
SDK1,turquoise
CACNA1A,blue
TAS2R39,green
MIR3978,pink
SLC24A2,turquoise
TRPC3,grey
PITPNM3,blue
TBXA2R,blue
DSG2,turquoise
SNORD15B,cyan
MAGI2,turquoise
MIR373,grey
GZMH,tan
COL6A5,turquoise
NUAK1,grey
E2F8,turquoise
ARMC9,turquoise
COL25A1,turquoise
CNKSR1,blue
DNMT3L,grey
FOXE1,blue
GUCY1B2,turquoise
NAT6,blue
CA1,brown
KCTD21-AS1,grey
SEMG1,grey
CCDC26,grey
MIR650,midnightblue
LOC100131289,grey
CSRNP3,turquoise
MROH6,blue
LRGUK,turquoise
CXCL10,black
RHBDL2,blue
NTRK1,grey
LOC101927431,turquoise
LOC105375734,red
MDK,blue
MIR4537,blue
CYP17A1,blue
TLE2,blue
ENDOG,magenta
OR7E2P,tan
TRPV6,blue
ZNF215,grey
CDC20B,turquoise
PREX2,turquoise
RYR2,turquoise
RET,blue
PCDHGA4,turquoise
EPN3,turquoise
TNXB,blue
S100A8,black
ANKK1,blue
KIAA1462,turquoise
HSD17B6,turquoise
DLGAP1,turquoise
LINC00643,turquoise
RIPK4,turquoise
TMEM132E,blue
MN1,blue
L3MBTL4-AS1,turquoise
TEAD3,turquoise
EPHA2,blue
AHSP,brown
RNF216-IT1,yellow
TMEM51,grey
CACHD1,turquoise
LOC101928694,grey
CCDC67,blue
JAG2,blue
VMO1,grey
SMC2-AS1,turquoise
LOC101929717,blue
LOC730101,grey
GSTM1,grey
GOLGA6L5P,turquoise
PRSS57,grey
MIR1262,green
PI3,green
SLC9A2,turquoise
ZBED9,turquoise
STX1B,blue
PLEKHA4,turquoise
PNMA2,blue
ALOX15B,turquoise
ETV5,turquoise
NAT8B,red
FAM3B,grey
